date,postId,source,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url,total_views,average_order,seen_by,visible
2019-05-05 03:20:00+00:00,10158897571939896,ABC.es,"Luis Navarro, director de Navarro Clínica, explica por qué siempre que se hace régimen hay un efecto rebote.",70.0,65.0,2.0,2.0,1.0,0.0,0.0,10.0,/story.php?story_fbid=10158897571939896&id=7377874895,0.0,0.0,0.0,no
2019-05-05 03:50:00+00:00,10158897632799896,ABC.es,"El militar señala que el mensaje lo escribió su esposa durante un trifulca en Facebook con la denunciante, a quien también ellos demandan por injurias.",77.0,18.0,6.0,2.0,17.0,1.0,33.0,59.0,/story.php?story_fbid=10158897632799896&id=7377874895,0.0,0.0,0.0,no
2019-05-05 04:05:00+00:00,10158897665929896,ABC.es,"La casa estaba ocupada por diez menores de origen magrebí. Tras conseguirlo aseguran sentirse más tranquilos, sin la intimidación a la que dicen les sometían",1360.0,1011.0,12.0,236.0,19.0,11.0,71.0,228.0,/story.php?story_fbid=10158897665929896&id=7377874895,0.0,0.0,0.0,no
2019-05-05 04:20:00+00:00,10158897694804896,ABC.es,"La carga mental se origina por el peso de encargarse de planificar, coordinar, supervisar y tomar decisiones en relación con las tareas del hogar, según los psicólogos.",1585.0,1231.0,10.0,20.0,66.0,252.0,7.0,95.0,/story.php?story_fbid=10158897694804896&id=7377874895,0.0,0.0,0.0,no
2019-05-05 04:35:00+00:00,10158897726839896,ABC.es,Todo cambió cuando Angela Farnan recibió una llamada telefónica a finales de 2017.,452.0,323.0,0.0,129.0,0.0,0.0,0.0,23.0,/story.php?story_fbid=10158897726839896&id=7377874895,0.0,0.0,0.0,no
2019-05-05 04:50:00+00:00,10158897753384896,ABC.es,"Catedrales rurales con tanta historia como belleza, perfectas para organizar una visita",172.0,148.0,0.0,24.0,0.0,0.0,0.0,1.0,/story.php?story_fbid=10158897753384896&id=7377874895,0.0,0.0,0.0,no
2019-05-05 05:01:07+00:00,10158897771314896,ABC.es,"🔴 #ÚLTIMAHORA La víctima mortal, identificada como Moshe Agadi, de 60 años, murió en el hospital a causa de las heridas por un cohete que cayó en la ciudad de Ashkelon.",214.0,48.0,6.0,9.0,9.0,59.0,83.0,81.0,/story.php?story_fbid=10158897771314896&id=7377874895,0.0,0.0,0.0,no
2019-05-05 05:05:00+00:00,10158897777419896,ABC.es,"Recorrido por 20 ejemplos de vitrales construidos a partir del siglo XIII en catedrales, iglesias y monasterios.",678.0,567.0,0.0,102.0,9.0,0.0,0.0,7.0,/story.php?story_fbid=10158897777419896&id=7377874895,0.0,0.0,0.0,no
2019-05-05 05:20:00+00:00,10158897803549896,ABC.es,El teniente Juan Haro López y sus hombres acabaron con la vida de Francisco Ríos González el 31 de agosto de 1907 tras una intensa cacería.,135.0,124.0,1.0,6.0,3.0,0.0,1.0,15.0,/story.php?story_fbid=10158897803549896&id=7377874895,0.0,0.0,0.0,no
2019-05-05 05:50:00+00:00,10158897855374896,ABC.es,El desplome electoral cosechado por el PP en las generales del 28 de abril ha abierto un boquete de más de 20 millones de euros en las cuentas del partido y deja sin empleo público a más de 50 asistentes parlamentarios.,130.0,50.0,42.0,20.0,8.0,7.0,3.0,97.0,/story.php?story_fbid=10158897855374896&id=7377874895,0.0,0.0,0.0,no
2019-05-05 06:05:01+00:00,10158897884439896,ABC.es,"Con el Liverpool en el horizonte, Valverde dio descanso a su equipo A para minimizar riesgos.",7.0,4.0,0.0,2.0,0.0,0.0,1.0,2.0,/story.php?story_fbid=10158897884439896&id=7377874895,0.0,0.0,0.0,no
2019-05-05 06:06:35+00:00,10158897887529896,ABC.es, Casado y Feijóo reconocen errores y cierra filas para remontar el 26-M  ,82.0,54.0,21.0,3.0,1.0,0.0,3.0,36.0,/ABCes/photos/a.10150849142504896/10158897887529896,0.0,0.0,0.0,no
2019-05-05 06:20:00+00:00,10158897912024896,ABC.es,"Para convertir una acción saludable en un hábito es aconsejable focalizar la atención durante dos semanas en cambios pequeños, pero efectivos.",19.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,/story.php?story_fbid=10158897912024896&id=7377874895,0.0,0.0,0.0,no
2019-05-05 06:35:00+00:00,10158897937604896,ABC.es,"El presidente del grupo parlamentario Vox, Francisco Serrano, pide más datos de otras contratas de la Junta.",395.0,198.0,16.0,20.0,56.0,2.0,103.0,68.0,/story.php?story_fbid=10158897937604896&id=7377874895,0.0,0.0,0.0,no
2019-05-05 06:50:00+00:00,10158897966704896,ABC.es,Nuestro país tiene cuatro de las diez regiones de la UE con mayor tasa de paro.,237.0,109.0,4.0,0.0,6.0,44.0,74.0,63.0,/story.php?story_fbid=10158897966704896&id=7377874895,0.0,0.0,0.0,no
2019-05-05 07:05:01+00:00,10158897990739896,ABC.es,"La directora general de Memoria Democrática de la Generalitat, Gemma Domènech, calificó de «presos políticos» a los miembros del Gobierno catalán en prisión preventiva.",143.0,90.0,21.0,2.0,2.0,1.0,27.0,56.0,/story.php?story_fbid=10158897990739896&id=7377874895,0.0,0.0,0.0,no
2019-05-05 07:15:00+00:00,2736465113036010,eldiario.es,La fundación de la que bebe filosóficamente Vox se atrinchera en un edificio público de Oviedo y no reconoce la autoridad del Ayuntamiento que quiere desalojarla tras ocuparla 20 años sin pagar un euro.,1651.0,363.0,198.0,4.0,95.0,15.0,977.0,242.0,/story.php?story_fbid=2736465113036010&id=417471918268686,0.0,0.0,0.0,no
2019-05-05 07:20:01+00:00,10158898017529896,ABC.es,Comienza la época de comuniciones y recordamos la opinión del juez Calatayud sobre esta celebración.,1917.0,1704.0,69.0,135.0,4.0,6.0,1.0,124.0,/story.php?story_fbid=10158898017529896&id=7377874895,0.0,0.0,0.0,no
2019-05-05 07:20:25+00:00,10158898018409896,ABC.es,🔴 #ÚLTIMAHORA El cadáver presentaba signos de violencia y la víctima ya había presentado denuncias por violencia de género.,209.0,33.0,0.0,0.0,4.0,68.0,104.0,45.0,/story.php?story_fbid=10158898018409896&id=7377874895,0.0,0.0,0.0,no
