impressionTime,user,word,count
2019-03-09 00:00:00+00:00,rosemary-ceviche-meringue,Solar System,5.0
2019-03-09 00:00:00+00:00,rosemary-ceviche-meringue,Warframe,5.0
2019-03-26 00:00:00+00:00,rosemary-ceviche-meringue,AMB,2.0
2019-03-26 00:00:00+00:00,rosemary-ceviche-meringue,Concorde,2.0
2019-03-26 00:00:00+00:00,rosemary-ceviche-meringue,Mansio,4.0
2019-03-26 00:00:00+00:00,rosemary-ceviche-meringue,Moraleja,2.0
2019-03-26 00:00:00+00:00,rosemary-ceviche-meringue,Pilar Rubio,2.0
2019-03-26 00:00:00+00:00,rosemary-ceviche-meringue,Sergio Ramos,2.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,AMB,14.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Abogado,4.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Aborto,4.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Alemania,12.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Alemania nazi,4.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Alimentación,14.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Andalucía,2.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Argentina,17.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Arte,7.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Asamblea Nacional Catalana,9.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Asturias,10.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Audi,1.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Automóvil,1.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Autódromo Internacional de Termas de Río Hondo,4.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Ave María,5.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Barcelona,19.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Bicicleta,6.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Bipartidismo,3.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Boya,3.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Brexit,3.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Bruno Latour,18.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Calentamiento global,9.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Cambio climático,9.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Carne,7.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Carolina Herrera,7.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Casa,1.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Cataluña,8.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Cayetana Álvarez de Toledo,8.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Chef,14.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Choripán,1.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Cine,2.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Cocina,7.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Comarca,5.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Combustible,1.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Comida,7.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Computadora portátil,6.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Comunicación Audiovisual,1.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Congratulations,1.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Congreso Internacional de la Lengua Española,1.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Congreso de los Diputados,4.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Creu de Sant Jordi,1.0
2019-04-01 00:00:00+00:00,rosemary-ceviche-meringue,Crímenes de guerra,2.0
